ID,Name,Description,Era,Predecessor_ID,Status,Syntropy_Score,Catalytic_Potential,Structural_Pattern,Invention_Reason,Social_Context,Drawbacks,Side_Effects,Impact_Map,Properties,External_Data_Link,Renewable,Location,Extraction_Method,Reserves_Estimate,Energy_Density_J_kg,Scarcity_Score,Knowledge_Completeness,Hidden_Potential_Hypothesis
RES-FUEL_METHANE_BATCH_001,Natural Gas (Dry) #1,GAS source from Qatar.,ERA-05_ELECTRICAL,RES-BIO_ANCIENT_FOREST,ACTIVE,5.46,20.0,HYDROCARBON_CHAIN,Nature,MKT-ENERGY,CO2,Warming,FAC-POWER:ENABLE:+100;ENV-CLIMATE:DAMAGE:-50,{'Energy': '54.6 MJ/kg'},NULL,FALSE,Qatar,Drilling/Mining,Finite,54608627,0.4,0.95,None
RES-FUEL_METHANE_BATCH_002,Natural Gas (Dry) #2,GAS source from Qatar.,ERA-05_ELECTRICAL,RES-BIO_ANCIENT_FOREST,ACTIVE,5.36,20.0,HYDROCARBON_CHAIN,Nature,MKT-ENERGY,CO2,Warming,FAC-POWER:ENABLE:+100;ENV-CLIMATE:DAMAGE:-50,{'Energy': '53.6 MJ/kg'},NULL,FALSE,Qatar,Drilling/Mining,Finite,53599169,0.4,0.95,None
RES-FUEL_METHANE_BATCH_003,Natural Gas (Dry) #3,GAS source from Qatar.,ERA-05_ELECTRICAL,RES-BIO_ANCIENT_FOREST,ACTIVE,5.71,20.0,HYDROCARBON_CHAIN,Nature,MKT-ENERGY,CO2,Warming,FAC-POWER:ENABLE:+100;ENV-CLIMATE:DAMAGE:-50,{'Energy': '57.1 MJ/kg'},NULL,FALSE,Qatar,Drilling/Mining,Finite,57147201,0.4,0.95,None
RES-FUEL_METHANE_BATCH_004,Natural Gas (Dry) #4,GAS source from Qatar.,ERA-05_ELECTRICAL,RES-BIO_ANCIENT_FOREST,ACTIVE,5.4,20.0,HYDROCARBON_CHAIN,Nature,MKT-ENERGY,CO2,Warming,FAC-POWER:ENABLE:+100;ENV-CLIMATE:DAMAGE:-50,{'Energy': '54.0 MJ/kg'},NULL,FALSE,Qatar,Drilling/Mining,Finite,53984532,0.4,0.95,None
RES-FUEL_METHANE_BATCH_005,Natural Gas (Dry) #5,GAS source from Qatar.,ERA-05_ELECTRICAL,RES-BIO_ANCIENT_FOREST,ACTIVE,5.72,20.0,HYDROCARBON_CHAIN,Nature,MKT-ENERGY,CO2,Warming,FAC-POWER:ENABLE:+100;ENV-CLIMATE:DAMAGE:-50,{'Energy': '57.2 MJ/kg'},NULL,FALSE,Qatar,Drilling/Mining,Finite,57226556,0.4,0.95,None
RES-FUEL_METHANE_BATCH_006,Natural Gas (Dry) #6,GAS source from Qatar.,ERA-05_ELECTRICAL,RES-BIO_ANCIENT_FOREST,ACTIVE,5.43,20.0,HYDROCARBON_CHAIN,Nature,MKT-ENERGY,CO2,Warming,FAC-POWER:ENABLE:+100;ENV-CLIMATE:DAMAGE:-50,{'Energy': '54.3 MJ/kg'},NULL,FALSE,Qatar,Drilling/Mining,Finite,54315209,0.4,0.95,None
RES-FUEL_METHANE_BATCH_007,Natural Gas (Dry) #7,GAS source from Qatar.,ERA-05_ELECTRICAL,RES-BIO_ANCIENT_FOREST,ACTIVE,5.64,20.0,HYDROCARBON_CHAIN,Nature,MKT-ENERGY,CO2,Warming,FAC-POWER:ENABLE:+100;ENV-CLIMATE:DAMAGE:-50,{'Energy': '56.4 MJ/kg'},NULL,FALSE,Qatar,Drilling/Mining,Finite,56392914,0.4,0.95,None
RES-FUEL_METHANE_BATCH_008,Natural Gas (Dry) #8,GAS source from Qatar.,ERA-05_ELECTRICAL,RES-BIO_ANCIENT_FOREST,ACTIVE,5.75,20.0,HYDROCARBON_CHAIN,Nature,MKT-ENERGY,CO2,Warming,FAC-POWER:ENABLE:+100;ENV-CLIMATE:DAMAGE:-50,{'Energy': '57.5 MJ/kg'},NULL,FALSE,Qatar,Drilling/Mining,Finite,57509500,0.4,0.95,None
RES-FUEL_METHANE_BATCH_009,Natural Gas (Dry) #9,GAS source from Qatar.,ERA-05_ELECTRICAL,RES-BIO_ANCIENT_FOREST,ACTIVE,5.42,20.0,HYDROCARBON_CHAIN,Nature,MKT-ENERGY,CO2,Warming,FAC-POWER:ENABLE:+100;ENV-CLIMATE:DAMAGE:-50,{'Energy': '54.2 MJ/kg'},NULL,FALSE,Qatar,Drilling/Mining,Finite,54180620,0.4,0.95,None
RES-FUEL_METHANE_BATCH_010,Natural Gas (Dry) #10,GAS source from Qatar.,ERA-05_ELECTRICAL,RES-BIO_ANCIENT_FOREST,ACTIVE,5.27,20.0,HYDROCARBON_CHAIN,Nature,MKT-ENERGY,CO2,Warming,FAC-POWER:ENABLE:+100;ENV-CLIMATE:DAMAGE:-50,{'Energy': '52.7 MJ/kg'},NULL,FALSE,Qatar,Drilling/Mining,Finite,52667428,0.4,0.95,None
RES-FUEL_SHALE_GAS_BATCH_001,Shale Gas #1,GAS source from USA.,ERA-05_ELECTRICAL,RES-BIO_ANCIENT_FOREST,ACTIVE,5.48,20.0,HYDROCARBON_CHAIN,Nature,MKT-ENERGY,CO2,Warming,FAC-POWER:ENABLE:+100;ENV-CLIMATE:DAMAGE:-50,{'Energy': '54.8 MJ/kg'},NULL,FALSE,USA,Drilling/Mining,Finite,54764535,0.4,0.95,None
RES-FUEL_SHALE_GAS_BATCH_002,Shale Gas #2,GAS source from USA.,ERA-05_ELECTRICAL,RES-BIO_ANCIENT_FOREST,ACTIVE,5.37,20.0,HYDROCARBON_CHAIN,Nature,MKT-ENERGY,CO2,Warming,FAC-POWER:ENABLE:+100;ENV-CLIMATE:DAMAGE:-50,{'Energy': '53.7 MJ/kg'},NULL,FALSE,USA,Drilling/Mining,Finite,53714321,0.4,0.95,None
RES-FUEL_SHALE_GAS_BATCH_003,Shale Gas #3,GAS source from USA.,ERA-05_ELECTRICAL,RES-BIO_ANCIENT_FOREST,ACTIVE,5.19,20.0,HYDROCARBON_CHAIN,Nature,MKT-ENERGY,CO2,Warming,FAC-POWER:ENABLE:+100;ENV-CLIMATE:DAMAGE:-50,{'Energy': '51.9 MJ/kg'},NULL,FALSE,USA,Drilling/Mining,Finite,51862091,0.4,0.95,None
RES-FUEL_SHALE_GAS_BATCH_004,Shale Gas #4,GAS source from USA.,ERA-05_ELECTRICAL,RES-BIO_ANCIENT_FOREST,ACTIVE,5.18,20.0,HYDROCARBON_CHAIN,Nature,MKT-ENERGY,CO2,Warming,FAC-POWER:ENABLE:+100;ENV-CLIMATE:DAMAGE:-50,{'Energy': '51.8 MJ/kg'},NULL,FALSE,USA,Drilling/Mining,Finite,51845567,0.4,0.95,None
RES-FUEL_SHALE_GAS_BATCH_005,Shale Gas #5,GAS source from USA.,ERA-05_ELECTRICAL,RES-BIO_ANCIENT_FOREST,ACTIVE,5.17,20.0,HYDROCARBON_CHAIN,Nature,MKT-ENERGY,CO2,Warming,FAC-POWER:ENABLE:+100;ENV-CLIMATE:DAMAGE:-50,{'Energy': '51.7 MJ/kg'},NULL,FALSE,USA,Drilling/Mining,Finite,51689282,0.4,0.95,None
RES-FUEL_SHALE_GAS_BATCH_006,Shale Gas #6,GAS source from USA.,ERA-05_ELECTRICAL,RES-BIO_ANCIENT_FOREST,ACTIVE,5.3,20.0,HYDROCARBON_CHAIN,Nature,MKT-ENERGY,CO2,Warming,FAC-POWER:ENABLE:+100;ENV-CLIMATE:DAMAGE:-50,{'Energy': '53.0 MJ/kg'},NULL,FALSE,USA,Drilling/Mining,Finite,53015122,0.4,0.95,None
RES-FUEL_SHALE_GAS_BATCH_007,Shale Gas #7,GAS source from USA.,ERA-05_ELECTRICAL,RES-BIO_ANCIENT_FOREST,ACTIVE,5.31,20.0,HYDROCARBON_CHAIN,Nature,MKT-ENERGY,CO2,Warming,FAC-POWER:ENABLE:+100;ENV-CLIMATE:DAMAGE:-50,{'Energy': '53.1 MJ/kg'},NULL,FALSE,USA,Drilling/Mining,Finite,53062636,0.4,0.95,None
RES-FUEL_SHALE_GAS_BATCH_008,Shale Gas #8,GAS source from USA.,ERA-05_ELECTRICAL,RES-BIO_ANCIENT_FOREST,ACTIVE,5.33,20.0,HYDROCARBON_CHAIN,Nature,MKT-ENERGY,CO2,Warming,FAC-POWER:ENABLE:+100;ENV-CLIMATE:DAMAGE:-50,{'Energy': '53.3 MJ/kg'},NULL,FALSE,USA,Drilling/Mining,Finite,53312987,0.4,0.95,None
RES-FUEL_SHALE_GAS_BATCH_009,Shale Gas #9,GAS source from USA.,ERA-05_ELECTRICAL,RES-BIO_ANCIENT_FOREST,ACTIVE,5.14,20.0,HYDROCARBON_CHAIN,Nature,MKT-ENERGY,CO2,Warming,FAC-POWER:ENABLE:+100;ENV-CLIMATE:DAMAGE:-50,{'Energy': '51.4 MJ/kg'},NULL,FALSE,USA,Drilling/Mining,Finite,51410575,0.4,0.95,None
RES-FUEL_SHALE_GAS_BATCH_010,Shale Gas #10,GAS source from USA.,ERA-05_ELECTRICAL,RES-BIO_ANCIENT_FOREST,ACTIVE,5.46,20.0,HYDROCARBON_CHAIN,Nature,MKT-ENERGY,CO2,Warming,FAC-POWER:ENABLE:+100;ENV-CLIMATE:DAMAGE:-50,{'Energy': '54.6 MJ/kg'},NULL,FALSE,USA,Drilling/Mining,Finite,54594754,0.4,0.95,None
