ID,Name,Description,Era,Predecessor_ID,Status,Syntropy_Score,Catalytic_Potential,Structural_Pattern,Power_Source,Output_Capacity,Req_Space,Maintenance_Cycle,Energy_Consumption_W,Invention_Reason,Social_Context,Drawbacks,Side_Effects,Impact_Map,Properties,External_Data_Link
FAC-MACH_LATHE_MICRO,Lab/Desktop Lathe,Turning unit. Lab/Desktop scale.,ERA-04_INDUSTRIAL,FAC-WORKSHOP_MANUAL,ACTIVE,0.4,10.0,MECHANICAL_KINEMATIC,GRID-AC,2 ops/hr,2m2,Every 200 hours,500,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-MACH_TURN_STANDARD:ENABLE:+0;SOC-GDP:GROWTH:+0,"{'Voltage': '110/220V', 'MTBF': '2000 hours'}",NULL
FAC-MACH_LATHE,Standard Lathe,Turning unit. Standard scale.,ERA-04_INDUSTRIAL,FAC-WORKSHOP_MANUAL,ACTIVE,2.0,10.0,MECHANICAL_KINEMATIC,GRID-AC,100 ops/hr,15m2,Every 200 hours,10000,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-MACH_TURN_STANDARD:ENABLE:+10;SOC-GDP:GROWTH:+5,"{'Voltage': '380V 3-Phase', 'MTBF': '2000 hours'}",NULL
FAC-MACH_LATHE_IND,Industrial Lathe,Turning unit. Industrial scale.,ERA-04_INDUSTRIAL,FAC-MACH_LATHE,ACTIVE,3.2,10.0,MECHANICAL_KINEMATIC,GRID-AC,800 ops/hr,50m2,Every 200 hours,50000,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-MACH_TURN_STANDARD:ENABLE:+80;SOC-GDP:GROWTH:+40,"{'Voltage': '480V 3-Phase', 'MTBF': '2000 hours'}",NULL
FAC-MACH_LATHE_GIGA,Gigafactory Lathe,Turning unit. Gigafactory scale.,ERA-04_INDUSTRIAL,FAC-MACH_LATHE_IND,ACTIVE,4.8,10.0,MECHANICAL_KINEMATIC,GRID-AC,12000 ops/hr,500m2,Every 200 hours,500000,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-MACH_TURN_STANDARD:ENABLE:+1200;SOC-GDP:GROWTH:+600,"{'Voltage': 'HV Direct Feed', 'MTBF': '2000 hours'}",NULL
FAC-MACH_MILL_MICRO,Lab/Desktop Milling Machine,Milling unit. Lab/Desktop scale.,ERA-04_INDUSTRIAL,FAC-WORKSHOP_MANUAL,ACTIVE,0.33,12.0,MECHANICAL_KINEMATIC,GRID-AC,2 ops/hr,2m2,Every 166 hours,500,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-MACH_MILL_STANDARD:ENABLE:+0;SOC-GDP:GROWTH:+0,"{'Voltage': '110/220V', 'MTBF': '1666 hours'}",NULL
FAC-MACH_MILL,Standard Milling Machine,Milling unit. Standard scale.,ERA-04_INDUSTRIAL,FAC-WORKSHOP_MANUAL,ACTIVE,1.67,12.0,MECHANICAL_KINEMATIC,GRID-AC,100 ops/hr,15m2,Every 166 hours,10000,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-MACH_MILL_STANDARD:ENABLE:+10;SOC-GDP:GROWTH:+5,"{'Voltage': '380V 3-Phase', 'MTBF': '1666 hours'}",NULL
FAC-MACH_MILL_IND,Industrial Milling Machine,Milling unit. Industrial scale.,ERA-04_INDUSTRIAL,FAC-MACH_MILL,ACTIVE,2.67,12.0,MECHANICAL_KINEMATIC,GRID-AC,800 ops/hr,50m2,Every 166 hours,50000,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-MACH_MILL_STANDARD:ENABLE:+80;SOC-GDP:GROWTH:+40,"{'Voltage': '480V 3-Phase', 'MTBF': '1666 hours'}",NULL
FAC-MACH_MILL_GIGA,Gigafactory Milling Machine,Milling unit. Gigafactory scale.,ERA-04_INDUSTRIAL,FAC-MACH_MILL_IND,ACTIVE,4.0,12.0,MECHANICAL_KINEMATIC,GRID-AC,12000 ops/hr,500m2,Every 166 hours,500000,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-MACH_MILL_STANDARD:ENABLE:+1200;SOC-GDP:GROWTH:+600,"{'Voltage': 'HV Direct Feed', 'MTBF': '1666 hours'}",NULL
FAC-MACH_DRILL_MICRO,Lab/Desktop Drill Press,Drilling unit. Lab/Desktop scale.,ERA-04_INDUSTRIAL,FAC-WORKSHOP_MANUAL,ACTIVE,0.5,8.0,MECHANICAL_KINEMATIC,GRID-AC,2 ops/hr,2m2,Every 250 hours,500,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-EXT_DRILLING_STANDARD:ENABLE:+0;SOC-GDP:GROWTH:+0,"{'Voltage': '110/220V', 'MTBF': '2500 hours'}",NULL
FAC-MACH_DRILL,Standard Drill Press,Drilling unit. Standard scale.,ERA-04_INDUSTRIAL,FAC-WORKSHOP_MANUAL,ACTIVE,2.5,8.0,MECHANICAL_KINEMATIC,GRID-AC,100 ops/hr,15m2,Every 250 hours,10000,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-EXT_DRILLING_STANDARD:ENABLE:+10;SOC-GDP:GROWTH:+5,"{'Voltage': '380V 3-Phase', 'MTBF': '2500 hours'}",NULL
FAC-MACH_DRILL_IND,Industrial Drill Press,Drilling unit. Industrial scale.,ERA-04_INDUSTRIAL,FAC-MACH_DRILL,ACTIVE,4.0,8.0,MECHANICAL_KINEMATIC,GRID-AC,800 ops/hr,50m2,Every 250 hours,50000,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-EXT_DRILLING_STANDARD:ENABLE:+80;SOC-GDP:GROWTH:+40,"{'Voltage': '480V 3-Phase', 'MTBF': '2500 hours'}",NULL
FAC-MACH_DRILL_GIGA,Gigafactory Drill Press,Drilling unit. Gigafactory scale.,ERA-04_INDUSTRIAL,FAC-MACH_DRILL_IND,ACTIVE,6.0,8.0,MECHANICAL_KINEMATIC,GRID-AC,12000 ops/hr,500m2,Every 250 hours,500000,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-EXT_DRILLING_STANDARD:ENABLE:+1200;SOC-GDP:GROWTH:+600,"{'Voltage': 'HV Direct Feed', 'MTBF': '2500 hours'}",NULL
FAC-MACH_GRINDER_MICRO,Lab/Desktop Surface Grinder,Grinding unit. Lab/Desktop scale.,ERA-04_INDUSTRIAL,FAC-WORKSHOP_MANUAL,ACTIVE,0.36,11.0,MECHANICAL_KINEMATIC,GRID-AC,2 ops/hr,2m2,Every 181 hours,500,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-MACH_GRIND_STANDARD:ENABLE:+0;SOC-GDP:GROWTH:+0,"{'Voltage': '110/220V', 'MTBF': '1818 hours'}",NULL
FAC-MACH_GRINDER,Standard Surface Grinder,Grinding unit. Standard scale.,ERA-04_INDUSTRIAL,FAC-WORKSHOP_MANUAL,ACTIVE,1.82,11.0,MECHANICAL_KINEMATIC,GRID-AC,100 ops/hr,15m2,Every 181 hours,10000,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-MACH_GRIND_STANDARD:ENABLE:+10;SOC-GDP:GROWTH:+5,"{'Voltage': '380V 3-Phase', 'MTBF': '1818 hours'}",NULL
FAC-MACH_GRINDER_IND,Industrial Surface Grinder,Grinding unit. Industrial scale.,ERA-04_INDUSTRIAL,FAC-MACH_GRINDER,ACTIVE,2.91,11.0,MECHANICAL_KINEMATIC,GRID-AC,800 ops/hr,50m2,Every 181 hours,50000,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-MACH_GRIND_STANDARD:ENABLE:+80;SOC-GDP:GROWTH:+40,"{'Voltage': '480V 3-Phase', 'MTBF': '1818 hours'}",NULL
FAC-MACH_GRINDER_GIGA,Gigafactory Surface Grinder,Grinding unit. Gigafactory scale.,ERA-04_INDUSTRIAL,FAC-MACH_GRINDER_IND,ACTIVE,4.36,11.0,MECHANICAL_KINEMATIC,GRID-AC,12000 ops/hr,500m2,Every 181 hours,500000,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-MACH_GRIND_STANDARD:ENABLE:+1200;SOC-GDP:GROWTH:+600,"{'Voltage': 'HV Direct Feed', 'MTBF': '1818 hours'}",NULL
FAC-MACH_THREADER_MICRO,Lab/Desktop Thread Roller,Threading unit. Lab/Desktop scale.,ERA-04_INDUSTRIAL,FAC-WORKSHOP_MANUAL,ACTIVE,0.4,10.0,MECHANICAL_KINEMATIC,GRID-AC,2 ops/hr,2m2,Every 200 hours,500,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-MACH_THREAD_ROLLING_STANDARD:ENABLE:+0;SOC-GDP:GROWTH:+0,"{'Voltage': '110/220V', 'MTBF': '2000 hours'}",NULL
FAC-MACH_THREADER,Standard Thread Roller,Threading unit. Standard scale.,ERA-04_INDUSTRIAL,FAC-WORKSHOP_MANUAL,ACTIVE,2.0,10.0,MECHANICAL_KINEMATIC,GRID-AC,100 ops/hr,15m2,Every 200 hours,10000,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-MACH_THREAD_ROLLING_STANDARD:ENABLE:+10;SOC-GDP:GROWTH:+5,"{'Voltage': '380V 3-Phase', 'MTBF': '2000 hours'}",NULL
FAC-MACH_THREADER_IND,Industrial Thread Roller,Threading unit. Industrial scale.,ERA-04_INDUSTRIAL,FAC-MACH_THREADER,ACTIVE,3.2,10.0,MECHANICAL_KINEMATIC,GRID-AC,800 ops/hr,50m2,Every 200 hours,50000,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-MACH_THREAD_ROLLING_STANDARD:ENABLE:+80;SOC-GDP:GROWTH:+40,"{'Voltage': '480V 3-Phase', 'MTBF': '2000 hours'}",NULL
FAC-MACH_THREADER_GIGA,Gigafactory Thread Roller,Threading unit. Gigafactory scale.,ERA-04_INDUSTRIAL,FAC-MACH_THREADER_IND,ACTIVE,4.8,10.0,MECHANICAL_KINEMATIC,GRID-AC,12000 ops/hr,500m2,Every 200 hours,500000,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-MACH_THREAD_ROLLING_STANDARD:ENABLE:+1200;SOC-GDP:GROWTH:+600,"{'Voltage': 'HV Direct Feed', 'MTBF': '2000 hours'}",NULL
FAC-MACH_PRESS_MICRO,Lab/Desktop Hydraulic Press,Forming unit. Lab/Desktop scale.,ERA-04_INDUSTRIAL,FAC-WORKSHOP_MANUAL,ACTIVE,0.27,15.0,MECHANICAL_KINEMATIC,GRID-AC,2 ops/hr,2m2,Every 133 hours,500,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-DEF_STAMPING_STANDARD:ENABLE:+0;SOC-GDP:GROWTH:+0,"{'Voltage': '110/220V', 'MTBF': '1333 hours'}",NULL
FAC-MACH_PRESS,Standard Hydraulic Press,Forming unit. Standard scale.,ERA-04_INDUSTRIAL,FAC-WORKSHOP_MANUAL,ACTIVE,1.33,15.0,MECHANICAL_KINEMATIC,GRID-AC,100 ops/hr,15m2,Every 133 hours,10000,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-DEF_STAMPING_STANDARD:ENABLE:+10;SOC-GDP:GROWTH:+5,"{'Voltage': '380V 3-Phase', 'MTBF': '1333 hours'}",NULL
FAC-MACH_PRESS_IND,Industrial Hydraulic Press,Forming unit. Industrial scale.,ERA-04_INDUSTRIAL,FAC-MACH_PRESS,ACTIVE,2.13,15.0,MECHANICAL_KINEMATIC,GRID-AC,800 ops/hr,50m2,Every 133 hours,50000,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-DEF_STAMPING_STANDARD:ENABLE:+80;SOC-GDP:GROWTH:+40,"{'Voltage': '480V 3-Phase', 'MTBF': '1333 hours'}",NULL
FAC-MACH_PRESS_GIGA,Gigafactory Hydraulic Press,Forming unit. Gigafactory scale.,ERA-04_INDUSTRIAL,FAC-MACH_PRESS_IND,ACTIVE,3.2,15.0,MECHANICAL_KINEMATIC,GRID-AC,12000 ops/hr,500m2,Every 133 hours,500000,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-DEF_STAMPING_STANDARD:ENABLE:+1200;SOC-GDP:GROWTH:+600,"{'Voltage': 'HV Direct Feed', 'MTBF': '1333 hours'}",NULL
FAC-MACH_PRINTER_FDM_MICRO,Lab/Desktop 3D Printer (FDM),Additive unit. Lab/Desktop scale.,ERA-06_DIGITAL,FAC-WORKSHOP_MANUAL,ACTIVE,0.7,20.0,MECHANICAL_KINEMATIC,GRID-AC,2 ops/hr,2m2,Every 350 hours,500,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-ADD_FDM_STANDARD:ENABLE:+0;SOC-GDP:GROWTH:+0,"{'Voltage': '110/220V', 'MTBF': '3500 hours'}",NULL
FAC-MACH_PRINTER_FDM,Standard 3D Printer (FDM),Additive unit. Standard scale.,ERA-06_DIGITAL,FAC-WORKSHOP_MANUAL,ACTIVE,3.5,20.0,MECHANICAL_KINEMATIC,GRID-AC,100 ops/hr,15m2,Every 350 hours,10000,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-ADD_FDM_STANDARD:ENABLE:+10;SOC-GDP:GROWTH:+5,"{'Voltage': '380V 3-Phase', 'MTBF': '3500 hours'}",NULL
FAC-MACH_PRINTER_FDM_IND,Industrial 3D Printer (FDM),Additive unit. Industrial scale.,ERA-06_DIGITAL,FAC-MACH_PRINTER_FDM,ACTIVE,5.6,20.0,MECHANICAL_KINEMATIC,GRID-AC,800 ops/hr,50m2,Every 350 hours,50000,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-ADD_FDM_STANDARD:ENABLE:+80;SOC-GDP:GROWTH:+40,"{'Voltage': '480V 3-Phase', 'MTBF': '3500 hours'}",NULL
FAC-MACH_PRINTER_FDM_GIGA,Gigafactory 3D Printer (FDM),Additive unit. Gigafactory scale.,ERA-06_DIGITAL,FAC-MACH_PRINTER_FDM_IND,ACTIVE,8.4,20.0,MECHANICAL_KINEMATIC,GRID-AC,12000 ops/hr,500m2,Every 350 hours,500000,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-ADD_FDM_STANDARD:ENABLE:+1200;SOC-GDP:GROWTH:+600,"{'Voltage': 'HV Direct Feed', 'MTBF': '3500 hours'}",NULL
FAC-MACH_ROBOT_ARM_MICRO,Lab/Desktop Robotic Arm,Assembly unit. Lab/Desktop scale.,ERA-06_DIGITAL,FAC-WORKSHOP_MANUAL,ACTIVE,0.47,30.0,MECHANICAL_KINEMATIC,GRID-AC,2 ops/hr,2m2,Every 233 hours,500,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-GEN_ASSEMBLY_STANDARD:ENABLE:+0;SOC-GDP:GROWTH:+0,"{'Voltage': '110/220V', 'MTBF': '2333 hours'}",NULL
FAC-MACH_ROBOT_ARM,Standard Robotic Arm,Assembly unit. Standard scale.,ERA-06_DIGITAL,FAC-WORKSHOP_MANUAL,ACTIVE,2.33,30.0,MECHANICAL_KINEMATIC,GRID-AC,100 ops/hr,15m2,Every 233 hours,10000,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-GEN_ASSEMBLY_STANDARD:ENABLE:+10;SOC-GDP:GROWTH:+5,"{'Voltage': '380V 3-Phase', 'MTBF': '2333 hours'}",NULL
FAC-MACH_ROBOT_ARM_IND,Industrial Robotic Arm,Assembly unit. Industrial scale.,ERA-06_DIGITAL,FAC-MACH_ROBOT_ARM,ACTIVE,3.73,30.0,MECHANICAL_KINEMATIC,GRID-AC,800 ops/hr,50m2,Every 233 hours,50000,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-GEN_ASSEMBLY_STANDARD:ENABLE:+80;SOC-GDP:GROWTH:+40,"{'Voltage': '480V 3-Phase', 'MTBF': '2333 hours'}",NULL
FAC-MACH_ROBOT_ARM_GIGA,Gigafactory Robotic Arm,Assembly unit. Gigafactory scale.,ERA-06_DIGITAL,FAC-MACH_ROBOT_ARM_IND,ACTIVE,5.6,30.0,MECHANICAL_KINEMATIC,GRID-AC,12000 ops/hr,500m2,Every 233 hours,500000,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-GEN_ASSEMBLY_STANDARD:ENABLE:+1200;SOC-GDP:GROWTH:+600,"{'Voltage': 'HV Direct Feed', 'MTBF': '2333 hours'}",NULL
