ID,Name,Description,Era,Predecessor_ID,Status,Syntropy_Score,Catalytic_Potential,Structural_Pattern,Invention_Reason,Social_Context,Drawbacks,Side_Effects,Impact_Map,Scarcity_Score,Properties,External_Data_Link,Input_State,Output_State,Physics_Law,Energy_Type,Energy_Cost_Estimate,Req_Infrastructure
PROC-MACH_TURN_ROUGH,Turning (Rough),Lathe operation. Waste: 48%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,7.21,10.0,MACHINING,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '0.25 mm', 'Waste': '48%', 'Energy': '1.0 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,KINETIC,Medium,FAC-GENERIC
PROC-MACH_TURN_STANDARD,Turning (Standard),Lathe operation. Waste: 40%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,8.99,10.0,MACHINING,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '0.05 mm', 'Waste': '40%', 'Energy': '2.0 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,KINETIC,Medium,FAC-GENERIC
PROC-MACH_TURN_PRECISION,Turning (Precision),Lathe operation. Waste: 32%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,5.22,10.0,MACHINING,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '0.010000000000000002 mm', 'Waste': '32%', 'Energy': '6.0 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,KINETIC,High,FAC-GENERIC
PROC-MACH_MILL_ROUGH,Milling (Rough),CNC milling. Waste: 60%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,6.14,10.0,MACHINING,SOC-NEED_EFFICIENCY,MKT-GLOBAL,Pollution,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '0.1 mm', 'Waste': '60%', 'Energy': '1.5 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,KINETIC,Medium,FAC-GENERIC
PROC-MACH_MILL_STANDARD,Milling (Standard),CNC milling. Waste: 50%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,6.52,10.0,MACHINING,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '0.02 mm', 'Waste': '50%', 'Energy': '3.0 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,KINETIC,Medium,FAC-GENERIC
PROC-MACH_MILL_PRECISION,Milling (Precision),CNC milling. Waste: 40%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,3.68,10.0,MACHINING,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '0.004 mm', 'Waste': '40%', 'Energy': '9.0 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,KINETIC,High,FAC-GENERIC
PROC-MACH_GRIND_ROUGH,Grinding (Rough),Abrasive finishing. Waste: 12%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,12.98,10.0,MACHINING,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '0.025 mm', 'Waste': '12%', 'Energy': '2.5 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,KINETIC,Medium,FAC-GENERIC
PROC-MACH_GRIND_STANDARD,Grinding (Standard),Abrasive finishing. Waste: 10%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,9.54,10.0,MACHINING,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '0.005 mm', 'Waste': '10%', 'Energy': '5.0 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,KINETIC,Medium,FAC-GENERIC
PROC-MACH_GRIND_PRECISION,Grinding (Precision),Abrasive finishing. Waste: 8%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,4.24,10.0,MACHINING,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '0.001 mm', 'Waste': '8%', 'Energy': '15.0 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,KINETIC,High,FAC-GENERIC
PROC-MACH_THREAD_ROLLING_ROUGH,Thread Rolling (Rough),Cold forming of threads. Waste: 0%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,59.91,10.0,MACHINING,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '0.05 mm', 'Waste': '0%', 'Energy': '0.5 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,KINETIC,Medium,FAC-GENERIC
PROC-MACH_THREAD_ROLLING_STANDARD,Thread Rolling (Standard),Cold forming of threads. Waste: 0%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,46.05,10.0,MACHINING,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '0.01 mm', 'Waste': '0%', 'Energy': '1.0 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,KINETIC,Medium,FAC-GENERIC
PROC-MACH_THREAD_ROLLING_PRECISION,Thread Rolling (Precision),Cold forming of threads. Waste: 0%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,20.72,10.0,MACHINING,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '0.002 mm', 'Waste': '0%', 'Energy': '3.0 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,KINETIC,Medium,FAC-GENERIC
PROC-MACH_CUTTING_ROUGH,Laser/Plasma Cutting (Rough),Sheet cutting. Waste: 12%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,4.07,10.0,MACHINING,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '0.5 mm', 'Waste': '12%', 'Energy': '1.5 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,KINETIC,Medium,FAC-GENERIC
PROC-MACH_CUTTING_STANDARD,Laser/Plasma Cutting (Standard),Sheet cutting. Waste: 10%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,6.91,10.0,MACHINING,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '0.1 mm', 'Waste': '10%', 'Energy': '3.0 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,KINETIC,Medium,FAC-GENERIC
PROC-MACH_CUTTING_PRECISION,Laser/Plasma Cutting (Precision),Sheet cutting. Waste: 8%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,4.0,10.0,MACHINING,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '0.020000000000000004 mm', 'Waste': '8%', 'Energy': '9.0 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,KINETIC,High,FAC-GENERIC
