ID,Name,Description,Era,Predecessor_ID,Status,Syntropy_Score,Catalytic_Potential,Structural_Pattern,Properties,Req_Material,Req_Process,Impact_Map,Invention_Reason,Social_Context,Drawbacks,Side_Effects,External_Data_Link,Req_Infrastructure,Req_Science,Bill_of_Materials,Potential_Realization_Rate
ASSY-CPU_x86_180NM,CPU x86 180nm,Microprocessor. 1B transistors.,ERA-05_ELECTRICAL,PART-TRANSISTOR_MOSFET,ACTIVE,10.0,50.0,LOGIC_GATE_ARRAY,"{'Node': '180nm', 'Arch': 'x86'}",NULL,PROC-MIC_LITHOGRAPHY_STANDARD,SOC-INFO:ACCELERATE:+1000,SOC-NEED_INTELLIGENCE,MKT-DIGITAL,E-Waste,Heat,NULL,FAC-FAB_CLEANROOM,SCI-LAW_E_MC2,PART-WAFER_SI_300MM;PART-RES_0201_10kOHM,0.9
ASSY-CPU_x86_90NM,CPU x86 90nm,Microprocessor. 4B transistors.,ERA-06_DIGITAL,PART-TRANSISTOR_MOSFET,ACTIVE,20.0,200.0,LOGIC_GATE_ARRAY,"{'Node': '90nm', 'Arch': 'x86'}",NULL,PROC-MIC_LITHOGRAPHY_STANDARD,SOC-INFO:ACCELERATE:+1000,SOC-NEED_INTELLIGENCE,MKT-DIGITAL,E-Waste,Heat,NULL,FAC-FAB_CLEANROOM,SCI-LAW_E_MC2,PART-WAFER_SI_300MM;PART-RES_0201_10kOHM,0.9
ASSY-CPU_x86_45NM,CPU x86 45nm,Microprocessor. 16B transistors.,ERA-06_DIGITAL,PART-TRANSISTOR_MOSFET,ACTIVE,40.0,800.0,LOGIC_GATE_ARRAY,"{'Node': '45nm', 'Arch': 'x86'}",NULL,PROC-MIC_LITHOGRAPHY_STANDARD,SOC-INFO:ACCELERATE:+1000,SOC-NEED_INTELLIGENCE,MKT-DIGITAL,E-Waste,Heat,NULL,FAC-FAB_CLEANROOM,SCI-LAW_E_MC2,PART-WAFER_SI_300MM;PART-RES_0201_10kOHM,0.9
ASSY-CPU_x86_14NM,CPU x86 14nm,Microprocessor. 64B transistors.,ERA-06_DIGITAL,PART-TRANSISTOR_MOSFET,ACTIVE,64.0,3200.0,LOGIC_GATE_ARRAY,"{'Node': '14nm', 'Arch': 'x86'}",NULL,PROC-MIC_LITHOGRAPHY_STANDARD,SOC-INFO:ACCELERATE:+1000,SOC-NEED_INTELLIGENCE,MKT-DIGITAL,E-Waste,Heat,NULL,FAC-FAB_CLEANROOM,SCI-LAW_E_MC2,PART-WAFER_SI_300MM;PART-RES_0201_10kOHM,0.9
ASSY-CPU_x86_5NM,CPU x86 5nm,Microprocessor. 256B transistors.,ERA-07_INTELLECTUAL,PART-TRANSISTOR_MOSFET,ACTIVE,51.2,12800.0,LOGIC_GATE_ARRAY,"{'Node': '5nm', 'Arch': 'x86'}",NULL,PROC-MIC_LITHOGRAPHY_STANDARD,SOC-INFO:ACCELERATE:+1000,SOC-NEED_INTELLIGENCE,MKT-DIGITAL,E-Waste,Heat,NULL,FAC-FAB_CLEANROOM,SCI-LAW_E_MC2,PART-WAFER_SI_300MM;PART-RES_0201_10kOHM,0.9
ASSY-CPU_ARM_180NM,CPU ARM 180nm,Microprocessor. 1B transistors.,ERA-05_ELECTRICAL,PART-TRANSISTOR_MOSFET,ACTIVE,10.0,50.0,LOGIC_GATE_ARRAY,"{'Node': '180nm', 'Arch': 'ARM'}",NULL,PROC-MIC_LITHOGRAPHY_STANDARD,SOC-INFO:ACCELERATE:+1000,SOC-NEED_INTELLIGENCE,MKT-DIGITAL,E-Waste,Heat,NULL,FAC-FAB_CLEANROOM,SCI-LAW_E_MC2,PART-WAFER_SI_300MM;PART-RES_0201_10kOHM,0.9
ASSY-CPU_ARM_90NM,CPU ARM 90nm,Microprocessor. 4B transistors.,ERA-06_DIGITAL,PART-TRANSISTOR_MOSFET,ACTIVE,20.0,200.0,LOGIC_GATE_ARRAY,"{'Node': '90nm', 'Arch': 'ARM'}",NULL,PROC-MIC_LITHOGRAPHY_STANDARD,SOC-INFO:ACCELERATE:+1000,SOC-NEED_INTELLIGENCE,MKT-DIGITAL,E-Waste,Heat,NULL,FAC-FAB_CLEANROOM,SCI-LAW_E_MC2,PART-WAFER_SI_300MM;PART-RES_0201_10kOHM,0.9
ASSY-CPU_ARM_45NM,CPU ARM 45nm,Microprocessor. 16B transistors.,ERA-06_DIGITAL,PART-TRANSISTOR_MOSFET,ACTIVE,40.0,800.0,LOGIC_GATE_ARRAY,"{'Node': '45nm', 'Arch': 'ARM'}",NULL,PROC-MIC_LITHOGRAPHY_STANDARD,SOC-INFO:ACCELERATE:+1000,SOC-NEED_INTELLIGENCE,MKT-DIGITAL,E-Waste,Heat,NULL,FAC-FAB_CLEANROOM,SCI-LAW_E_MC2,PART-WAFER_SI_300MM;PART-RES_0201_10kOHM,0.9
ASSY-CPU_ARM_14NM,CPU ARM 14nm,Microprocessor. 64B transistors.,ERA-06_DIGITAL,PART-TRANSISTOR_MOSFET,ACTIVE,64.0,3200.0,LOGIC_GATE_ARRAY,"{'Node': '14nm', 'Arch': 'ARM'}",NULL,PROC-MIC_LITHOGRAPHY_STANDARD,SOC-INFO:ACCELERATE:+1000,SOC-NEED_INTELLIGENCE,MKT-DIGITAL,E-Waste,Heat,NULL,FAC-FAB_CLEANROOM,SCI-LAW_E_MC2,PART-WAFER_SI_300MM;PART-RES_0201_10kOHM,0.9
ASSY-CPU_ARM_5NM,CPU ARM 5nm,Microprocessor. 256B transistors.,ERA-07_INTELLECTUAL,PART-TRANSISTOR_MOSFET,ACTIVE,51.2,12800.0,LOGIC_GATE_ARRAY,"{'Node': '5nm', 'Arch': 'ARM'}",NULL,PROC-MIC_LITHOGRAPHY_STANDARD,SOC-INFO:ACCELERATE:+1000,SOC-NEED_INTELLIGENCE,MKT-DIGITAL,E-Waste,Heat,NULL,FAC-FAB_CLEANROOM,SCI-LAW_E_MC2,PART-WAFER_SI_300MM;PART-RES_0201_10kOHM,0.9
ASSY-CPU_RISC-V_180NM,CPU RISC-V 180nm,Microprocessor. 1B transistors.,ERA-05_ELECTRICAL,PART-TRANSISTOR_MOSFET,ACTIVE,10.0,50.0,LOGIC_GATE_ARRAY,"{'Node': '180nm', 'Arch': 'RISC-V'}",NULL,PROC-MIC_LITHOGRAPHY_STANDARD,SOC-INFO:ACCELERATE:+1000,SOC-NEED_INTELLIGENCE,MKT-DIGITAL,E-Waste,Heat,NULL,FAC-FAB_CLEANROOM,SCI-LAW_E_MC2,PART-WAFER_SI_300MM;PART-RES_0201_10kOHM,0.9
ASSY-CPU_RISC-V_90NM,CPU RISC-V 90nm,Microprocessor. 4B transistors.,ERA-06_DIGITAL,PART-TRANSISTOR_MOSFET,ACTIVE,20.0,200.0,LOGIC_GATE_ARRAY,"{'Node': '90nm', 'Arch': 'RISC-V'}",NULL,PROC-MIC_LITHOGRAPHY_STANDARD,SOC-INFO:ACCELERATE:+1000,SOC-NEED_INTELLIGENCE,MKT-DIGITAL,E-Waste,Heat,NULL,FAC-FAB_CLEANROOM,SCI-LAW_E_MC2,PART-WAFER_SI_300MM;PART-RES_0201_10kOHM,0.9
ASSY-CPU_RISC-V_45NM,CPU RISC-V 45nm,Microprocessor. 16B transistors.,ERA-06_DIGITAL,PART-TRANSISTOR_MOSFET,ACTIVE,40.0,800.0,LOGIC_GATE_ARRAY,"{'Node': '45nm', 'Arch': 'RISC-V'}",NULL,PROC-MIC_LITHOGRAPHY_STANDARD,SOC-INFO:ACCELERATE:+1000,SOC-NEED_INTELLIGENCE,MKT-DIGITAL,E-Waste,Heat,NULL,FAC-FAB_CLEANROOM,SCI-LAW_E_MC2,PART-WAFER_SI_300MM;PART-RES_0201_10kOHM,0.9
ASSY-CPU_RISC-V_14NM,CPU RISC-V 14nm,Microprocessor. 64B transistors.,ERA-06_DIGITAL,PART-TRANSISTOR_MOSFET,ACTIVE,64.0,3200.0,LOGIC_GATE_ARRAY,"{'Node': '14nm', 'Arch': 'RISC-V'}",NULL,PROC-MIC_LITHOGRAPHY_STANDARD,SOC-INFO:ACCELERATE:+1000,SOC-NEED_INTELLIGENCE,MKT-DIGITAL,E-Waste,Heat,NULL,FAC-FAB_CLEANROOM,SCI-LAW_E_MC2,PART-WAFER_SI_300MM;PART-RES_0201_10kOHM,0.9
ASSY-CPU_RISC-V_5NM,CPU RISC-V 5nm,Microprocessor. 256B transistors.,ERA-07_INTELLECTUAL,PART-TRANSISTOR_MOSFET,ACTIVE,51.2,12800.0,LOGIC_GATE_ARRAY,"{'Node': '5nm', 'Arch': 'RISC-V'}",NULL,PROC-MIC_LITHOGRAPHY_STANDARD,SOC-INFO:ACCELERATE:+1000,SOC-NEED_INTELLIGENCE,MKT-DIGITAL,E-Waste,Heat,NULL,FAC-FAB_CLEANROOM,SCI-LAW_E_MC2,PART-WAFER_SI_300MM;PART-RES_0201_10kOHM,0.9
