ID,Name,Description,Era,Predecessor_ID,Status,Syntropy_Score,Catalytic_Potential,Structural_Pattern,Properties,Req_Material,Req_Process,Impact_Map,Invention_Reason,Social_Context,Bill_of_Materials,Potential_Realization_Rate
PART-BOLT_HEX_M6x20_88,Hex Bolt M6x20mm (8.8),High tensile bolt for through-holes.,ERA-04_INDUSTRIAL,PART-RIVET,ACTIVE,2.0,1.0,HELICAL_HEADED,"{'Size': 'M6', 'Length': '20mm', 'Grade': '8.8'}",MAT-STL_1045_CD_US__001,PROC-MACH_THREAD_ROLLING_STANDARD,ASSY-GENERIC:CLAMP:+1,SOC-NEED_FIXATION,MKT-HARDWARE,NULL,0.99
PART-BOLT_HEX_M6x40_88,Hex Bolt M6x40mm (8.8),High tensile bolt for through-holes.,ERA-04_INDUSTRIAL,PART-RIVET,ACTIVE,2.0,1.0,HELICAL_HEADED,"{'Size': 'M6', 'Length': '40mm', 'Grade': '8.8'}",MAT-STL_1045_CD_US__001,PROC-MACH_THREAD_ROLLING_STANDARD,ASSY-GENERIC:CLAMP:+1,SOC-NEED_FIXATION,MKT-HARDWARE,NULL,0.99
PART-BOLT_HEX_M6x60_88,Hex Bolt M6x60mm (8.8),High tensile bolt for through-holes.,ERA-04_INDUSTRIAL,PART-RIVET,ACTIVE,2.0,1.0,HELICAL_HEADED,"{'Size': 'M6', 'Length': '60mm', 'Grade': '8.8'}",MAT-STL_1045_CD_US__001,PROC-MACH_THREAD_ROLLING_STANDARD,ASSY-GENERIC:CLAMP:+1,SOC-NEED_FIXATION,MKT-HARDWARE,NULL,0.99
PART-STUD_THREADED_M6x20_88,Threaded Stud M6x20mm,Headless rod. For blind holes or dual-nut flanges.,ERA-04_INDUSTRIAL,NULL,ACTIVE,2.5,2.0,HELICAL_ROD,"{'Size': 'M6', 'Length': '20mm', 'Type': 'Full Thread'}",MAT-STL_1045_CD_US__001,PROC-MACH_THREAD_ROLLING_STANDARD,ASSY-ENGINE:ASSEMBLE:+10,SOC-NEED_PRECISION_ASSEMBLY,MKT-AUTOMOTIVE,NULL,0.99
PART-STUD_THREADED_M6x40_88,Threaded Stud M6x40mm,Headless rod. For blind holes or dual-nut flanges.,ERA-04_INDUSTRIAL,NULL,ACTIVE,2.5,2.0,HELICAL_ROD,"{'Size': 'M6', 'Length': '40mm', 'Type': 'Full Thread'}",MAT-STL_1045_CD_US__001,PROC-MACH_THREAD_ROLLING_STANDARD,ASSY-ENGINE:ASSEMBLE:+10,SOC-NEED_PRECISION_ASSEMBLY,MKT-AUTOMOTIVE,NULL,0.99
PART-STUD_THREADED_M6x60_88,Threaded Stud M6x60mm,Headless rod. For blind holes or dual-nut flanges.,ERA-04_INDUSTRIAL,NULL,ACTIVE,2.5,2.0,HELICAL_ROD,"{'Size': 'M6', 'Length': '60mm', 'Type': 'Full Thread'}",MAT-STL_1045_CD_US__001,PROC-MACH_THREAD_ROLLING_STANDARD,ASSY-ENGINE:ASSEMBLE:+10,SOC-NEED_PRECISION_ASSEMBLY,MKT-AUTOMOTIVE,NULL,0.99
PART-STUD_THREADED_M6x100_88,Threaded Stud M6x100mm,Headless rod. For blind holes or dual-nut flanges.,ERA-04_INDUSTRIAL,NULL,ACTIVE,2.5,2.0,HELICAL_ROD,"{'Size': 'M6', 'Length': '100mm', 'Type': 'Full Thread'}",MAT-STL_1045_CD_US__001,PROC-MACH_THREAD_ROLLING_STANDARD,ASSY-ENGINE:ASSEMBLE:+10,SOC-NEED_PRECISION_ASSEMBLY,MKT-AUTOMOTIVE,NULL,0.99
PART-NUT_HEX_M6_8,Hex Nut M6 (Cl.8),Standard hex nut.,ERA-04_INDUSTRIAL,NULL,ACTIVE,2.0,1.0,HELICAL_INTERNAL,"{'Size': 'M6', 'Pitch': 'Standard'}",MAT-STL_1045_HR_US__001,PROC-MACH_THREAD_ROLLING_STANDARD,PART-BOLT_HEX:LOCK:+10;PART-STUD_THREADED:LOCK:+10,SOC-NEED_FIXATION,MKT-HARDWARE,NULL,0.99
PART-WASHER_FLAT_M6,Flat Washer M6,Load distribution washer.,ERA-04_INDUSTRIAL,NULL,ACTIVE,1.5,0.5,TORUS_FLAT,"{'ID': 'M6', 'Type': 'Flat'}",MAT-STL_1010_HR_US__001,PROC-DEF_STAMPING_STANDARD,PART-NUT_HEX:PROTECT:+5,SOC-NEED_DURABILITY,MKT-HARDWARE,NULL,0.99
PART-BOLT_HEX_M8x20_88,Hex Bolt M8x20mm (8.8),High tensile bolt for through-holes.,ERA-04_INDUSTRIAL,PART-RIVET,ACTIVE,2.0,1.0,HELICAL_HEADED,"{'Size': 'M8', 'Length': '20mm', 'Grade': '8.8'}",MAT-STL_1045_CD_US__001,PROC-MACH_THREAD_ROLLING_STANDARD,ASSY-GENERIC:CLAMP:+1,SOC-NEED_FIXATION,MKT-HARDWARE,NULL,0.99
PART-BOLT_HEX_M8x40_88,Hex Bolt M8x40mm (8.8),High tensile bolt for through-holes.,ERA-04_INDUSTRIAL,PART-RIVET,ACTIVE,2.0,1.0,HELICAL_HEADED,"{'Size': 'M8', 'Length': '40mm', 'Grade': '8.8'}",MAT-STL_1045_CD_US__001,PROC-MACH_THREAD_ROLLING_STANDARD,ASSY-GENERIC:CLAMP:+1,SOC-NEED_FIXATION,MKT-HARDWARE,NULL,0.99
PART-BOLT_HEX_M8x60_88,Hex Bolt M8x60mm (8.8),High tensile bolt for through-holes.,ERA-04_INDUSTRIAL,PART-RIVET,ACTIVE,2.0,1.0,HELICAL_HEADED,"{'Size': 'M8', 'Length': '60mm', 'Grade': '8.8'}",MAT-STL_1045_CD_US__001,PROC-MACH_THREAD_ROLLING_STANDARD,ASSY-GENERIC:CLAMP:+1,SOC-NEED_FIXATION,MKT-HARDWARE,NULL,0.99
PART-STUD_THREADED_M8x20_88,Threaded Stud M8x20mm,Headless rod. For blind holes or dual-nut flanges.,ERA-04_INDUSTRIAL,NULL,ACTIVE,2.5,2.0,HELICAL_ROD,"{'Size': 'M8', 'Length': '20mm', 'Type': 'Full Thread'}",MAT-STL_1045_CD_US__001,PROC-MACH_THREAD_ROLLING_STANDARD,ASSY-ENGINE:ASSEMBLE:+10,SOC-NEED_PRECISION_ASSEMBLY,MKT-AUTOMOTIVE,NULL,0.99
PART-STUD_THREADED_M8x40_88,Threaded Stud M8x40mm,Headless rod. For blind holes or dual-nut flanges.,ERA-04_INDUSTRIAL,NULL,ACTIVE,2.5,2.0,HELICAL_ROD,"{'Size': 'M8', 'Length': '40mm', 'Type': 'Full Thread'}",MAT-STL_1045_CD_US__001,PROC-MACH_THREAD_ROLLING_STANDARD,ASSY-ENGINE:ASSEMBLE:+10,SOC-NEED_PRECISION_ASSEMBLY,MKT-AUTOMOTIVE,NULL,0.99
PART-STUD_THREADED_M8x60_88,Threaded Stud M8x60mm,Headless rod. For blind holes or dual-nut flanges.,ERA-04_INDUSTRIAL,NULL,ACTIVE,2.5,2.0,HELICAL_ROD,"{'Size': 'M8', 'Length': '60mm', 'Type': 'Full Thread'}",MAT-STL_1045_CD_US__001,PROC-MACH_THREAD_ROLLING_STANDARD,ASSY-ENGINE:ASSEMBLE:+10,SOC-NEED_PRECISION_ASSEMBLY,MKT-AUTOMOTIVE,NULL,0.99
PART-STUD_THREADED_M8x100_88,Threaded Stud M8x100mm,Headless rod. For blind holes or dual-nut flanges.,ERA-04_INDUSTRIAL,NULL,ACTIVE,2.5,2.0,HELICAL_ROD,"{'Size': 'M8', 'Length': '100mm', 'Type': 'Full Thread'}",MAT-STL_1045_CD_US__001,PROC-MACH_THREAD_ROLLING_STANDARD,ASSY-ENGINE:ASSEMBLE:+10,SOC-NEED_PRECISION_ASSEMBLY,MKT-AUTOMOTIVE,NULL,0.99
PART-NUT_HEX_M8_8,Hex Nut M8 (Cl.8),Standard hex nut.,ERA-04_INDUSTRIAL,NULL,ACTIVE,2.0,1.0,HELICAL_INTERNAL,"{'Size': 'M8', 'Pitch': 'Standard'}",MAT-STL_1045_HR_US__001,PROC-MACH_THREAD_ROLLING_STANDARD,PART-BOLT_HEX:LOCK:+10;PART-STUD_THREADED:LOCK:+10,SOC-NEED_FIXATION,MKT-HARDWARE,NULL,0.99
PART-WASHER_FLAT_M8,Flat Washer M8,Load distribution washer.,ERA-04_INDUSTRIAL,NULL,ACTIVE,1.5,0.5,TORUS_FLAT,"{'ID': 'M8', 'Type': 'Flat'}",MAT-STL_1010_HR_US__001,PROC-DEF_STAMPING_STANDARD,PART-NUT_HEX:PROTECT:+5,SOC-NEED_DURABILITY,MKT-HARDWARE,NULL,0.99
PART-BOLT_HEX_M10x20_88,Hex Bolt M10x20mm (8.8),High tensile bolt for through-holes.,ERA-04_INDUSTRIAL,PART-RIVET,ACTIVE,2.0,1.0,HELICAL_HEADED,"{'Size': 'M10', 'Length': '20mm', 'Grade': '8.8'}",MAT-STL_1045_CD_US__001,PROC-MACH_THREAD_ROLLING_STANDARD,ASSY-GENERIC:CLAMP:+1,SOC-NEED_FIXATION,MKT-HARDWARE,NULL,0.99
PART-BOLT_HEX_M10x40_88,Hex Bolt M10x40mm (8.8),High tensile bolt for through-holes.,ERA-04_INDUSTRIAL,PART-RIVET,ACTIVE,2.0,1.0,HELICAL_HEADED,"{'Size': 'M10', 'Length': '40mm', 'Grade': '8.8'}",MAT-STL_1045_CD_US__001,PROC-MACH_THREAD_ROLLING_STANDARD,ASSY-GENERIC:CLAMP:+1,SOC-NEED_FIXATION,MKT-HARDWARE,NULL,0.99
PART-BOLT_HEX_M10x60_88,Hex Bolt M10x60mm (8.8),High tensile bolt for through-holes.,ERA-04_INDUSTRIAL,PART-RIVET,ACTIVE,2.0,1.0,HELICAL_HEADED,"{'Size': 'M10', 'Length': '60mm', 'Grade': '8.8'}",MAT-STL_1045_CD_US__001,PROC-MACH_THREAD_ROLLING_STANDARD,ASSY-GENERIC:CLAMP:+1,SOC-NEED_FIXATION,MKT-HARDWARE,NULL,0.99
PART-STUD_THREADED_M10x20_88,Threaded Stud M10x20mm,Headless rod. For blind holes or dual-nut flanges.,ERA-04_INDUSTRIAL,NULL,ACTIVE,2.5,2.0,HELICAL_ROD,"{'Size': 'M10', 'Length': '20mm', 'Type': 'Full Thread'}",MAT-STL_1045_CD_US__001,PROC-MACH_THREAD_ROLLING_STANDARD,ASSY-ENGINE:ASSEMBLE:+10,SOC-NEED_PRECISION_ASSEMBLY,MKT-AUTOMOTIVE,NULL,0.99
PART-STUD_THREADED_M10x40_88,Threaded Stud M10x40mm,Headless rod. For blind holes or dual-nut flanges.,ERA-04_INDUSTRIAL,NULL,ACTIVE,2.5,2.0,HELICAL_ROD,"{'Size': 'M10', 'Length': '40mm', 'Type': 'Full Thread'}",MAT-STL_1045_CD_US__001,PROC-MACH_THREAD_ROLLING_STANDARD,ASSY-ENGINE:ASSEMBLE:+10,SOC-NEED_PRECISION_ASSEMBLY,MKT-AUTOMOTIVE,NULL,0.99
PART-STUD_THREADED_M10x60_88,Threaded Stud M10x60mm,Headless rod. For blind holes or dual-nut flanges.,ERA-04_INDUSTRIAL,NULL,ACTIVE,2.5,2.0,HELICAL_ROD,"{'Size': 'M10', 'Length': '60mm', 'Type': 'Full Thread'}",MAT-STL_1045_CD_US__001,PROC-MACH_THREAD_ROLLING_STANDARD,ASSY-ENGINE:ASSEMBLE:+10,SOC-NEED_PRECISION_ASSEMBLY,MKT-AUTOMOTIVE,NULL,0.99
PART-STUD_THREADED_M10x100_88,Threaded Stud M10x100mm,Headless rod. For blind holes or dual-nut flanges.,ERA-04_INDUSTRIAL,NULL,ACTIVE,2.5,2.0,HELICAL_ROD,"{'Size': 'M10', 'Length': '100mm', 'Type': 'Full Thread'}",MAT-STL_1045_CD_US__001,PROC-MACH_THREAD_ROLLING_STANDARD,ASSY-ENGINE:ASSEMBLE:+10,SOC-NEED_PRECISION_ASSEMBLY,MKT-AUTOMOTIVE,NULL,0.99
PART-NUT_HEX_M10_8,Hex Nut M10 (Cl.8),Standard hex nut.,ERA-04_INDUSTRIAL,NULL,ACTIVE,2.0,1.0,HELICAL_INTERNAL,"{'Size': 'M10', 'Pitch': 'Standard'}",MAT-STL_1045_HR_US__001,PROC-MACH_THREAD_ROLLING_STANDARD,PART-BOLT_HEX:LOCK:+10;PART-STUD_THREADED:LOCK:+10,SOC-NEED_FIXATION,MKT-HARDWARE,NULL,0.99
PART-WASHER_FLAT_M10,Flat Washer M10,Load distribution washer.,ERA-04_INDUSTRIAL,NULL,ACTIVE,1.5,0.5,TORUS_FLAT,"{'ID': 'M10', 'Type': 'Flat'}",MAT-STL_1010_HR_US__001,PROC-DEF_STAMPING_STANDARD,PART-NUT_HEX:PROTECT:+5,SOC-NEED_DURABILITY,MKT-HARDWARE,NULL,0.99
PART-BOLT_HEX_M12x20_88,Hex Bolt M12x20mm (8.8),High tensile bolt for through-holes.,ERA-04_INDUSTRIAL,PART-RIVET,ACTIVE,2.0,1.0,HELICAL_HEADED,"{'Size': 'M12', 'Length': '20mm', 'Grade': '8.8'}",MAT-STL_1045_CD_US__001,PROC-MACH_THREAD_ROLLING_STANDARD,ASSY-GENERIC:CLAMP:+1,SOC-NEED_FIXATION,MKT-HARDWARE,NULL,0.99
PART-BOLT_HEX_M12x40_88,Hex Bolt M12x40mm (8.8),High tensile bolt for through-holes.,ERA-04_INDUSTRIAL,PART-RIVET,ACTIVE,2.0,1.0,HELICAL_HEADED,"{'Size': 'M12', 'Length': '40mm', 'Grade': '8.8'}",MAT-STL_1045_CD_US__001,PROC-MACH_THREAD_ROLLING_STANDARD,ASSY-GENERIC:CLAMP:+1,SOC-NEED_FIXATION,MKT-HARDWARE,NULL,0.99
PART-BOLT_HEX_M12x60_88,Hex Bolt M12x60mm (8.8),High tensile bolt for through-holes.,ERA-04_INDUSTRIAL,PART-RIVET,ACTIVE,2.0,1.0,HELICAL_HEADED,"{'Size': 'M12', 'Length': '60mm', 'Grade': '8.8'}",MAT-STL_1045_CD_US__001,PROC-MACH_THREAD_ROLLING_STANDARD,ASSY-GENERIC:CLAMP:+1,SOC-NEED_FIXATION,MKT-HARDWARE,NULL,0.99
PART-STUD_THREADED_M12x20_88,Threaded Stud M12x20mm,Headless rod. For blind holes or dual-nut flanges.,ERA-04_INDUSTRIAL,NULL,ACTIVE,2.5,2.0,HELICAL_ROD,"{'Size': 'M12', 'Length': '20mm', 'Type': 'Full Thread'}",MAT-STL_1045_CD_US__001,PROC-MACH_THREAD_ROLLING_STANDARD,ASSY-ENGINE:ASSEMBLE:+10,SOC-NEED_PRECISION_ASSEMBLY,MKT-AUTOMOTIVE,NULL,0.99
PART-STUD_THREADED_M12x40_88,Threaded Stud M12x40mm,Headless rod. For blind holes or dual-nut flanges.,ERA-04_INDUSTRIAL,NULL,ACTIVE,2.5,2.0,HELICAL_ROD,"{'Size': 'M12', 'Length': '40mm', 'Type': 'Full Thread'}",MAT-STL_1045_CD_US__001,PROC-MACH_THREAD_ROLLING_STANDARD,ASSY-ENGINE:ASSEMBLE:+10,SOC-NEED_PRECISION_ASSEMBLY,MKT-AUTOMOTIVE,NULL,0.99
PART-STUD_THREADED_M12x60_88,Threaded Stud M12x60mm,Headless rod. For blind holes or dual-nut flanges.,ERA-04_INDUSTRIAL,NULL,ACTIVE,2.5,2.0,HELICAL_ROD,"{'Size': 'M12', 'Length': '60mm', 'Type': 'Full Thread'}",MAT-STL_1045_CD_US__001,PROC-MACH_THREAD_ROLLING_STANDARD,ASSY-ENGINE:ASSEMBLE:+10,SOC-NEED_PRECISION_ASSEMBLY,MKT-AUTOMOTIVE,NULL,0.99
PART-STUD_THREADED_M12x100_88,Threaded Stud M12x100mm,Headless rod. For blind holes or dual-nut flanges.,ERA-04_INDUSTRIAL,NULL,ACTIVE,2.5,2.0,HELICAL_ROD,"{'Size': 'M12', 'Length': '100mm', 'Type': 'Full Thread'}",MAT-STL_1045_CD_US__001,PROC-MACH_THREAD_ROLLING_STANDARD,ASSY-ENGINE:ASSEMBLE:+10,SOC-NEED_PRECISION_ASSEMBLY,MKT-AUTOMOTIVE,NULL,0.99
PART-NUT_HEX_M12_8,Hex Nut M12 (Cl.8),Standard hex nut.,ERA-04_INDUSTRIAL,NULL,ACTIVE,2.0,1.0,HELICAL_INTERNAL,"{'Size': 'M12', 'Pitch': 'Standard'}",MAT-STL_1045_HR_US__001,PROC-MACH_THREAD_ROLLING_STANDARD,PART-BOLT_HEX:LOCK:+10;PART-STUD_THREADED:LOCK:+10,SOC-NEED_FIXATION,MKT-HARDWARE,NULL,0.99
PART-WASHER_FLAT_M12,Flat Washer M12,Load distribution washer.,ERA-04_INDUSTRIAL,NULL,ACTIVE,1.5,0.5,TORUS_FLAT,"{'ID': 'M12', 'Type': 'Flat'}",MAT-STL_1010_HR_US__001,PROC-DEF_STAMPING_STANDARD,PART-NUT_HEX:PROTECT:+5,SOC-NEED_DURABILITY,MKT-HARDWARE,NULL,0.99
